# generated_by: scripts/build_concept_map.py
# generated_on: 2026-08-12
# vocabulary_source: OHDSI WebAPI 2.14.0
# vocabulary_service: https://atlas-demo.ohdsi.org/WebAPI
# source_corpus: data/fhir
# distinct_codings: 217
# resolution_counts: {"source_only": 11, "standard": 202, "unresolved": 4}
# licence_note: Derived from the OHDSI standardised vocabularies via a public WebAPI instance. Only the codes present in this repository's sample data are included. The vocabulary itself is licence-gated and is not redistributed here.
source_system,source_code,source_display,source_concept_id,target_concept_id,target_concept_name,target_domain_id,target_vocabulary_id,target_standard_concept,resolution,resolved_at,resolver
http://loinc.org,33914-3,Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M,3030354,0,,,LOINC,,source_only,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,38483-4,Creatinine [Mass/volume] in Blood,3051825,3051825,Creatinine [Mass/volume] in Blood,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,39156-5,Body mass index (BMI) [Ratio],3038553,3038553,Body mass index (BMI) [Ratio],Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,3023314,3023314,Hematocrit [Volume Fraction] of Blood by Automated count,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,3004410,3004410,Hemoglobin A1c/Hemoglobin.total in Blood,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,49765-1,Calcium [Mass/volume] in Blood,3032503,3032503,Calcium [Mass/volume] in Blood,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,54899-0,Preferred language,40758030,40758030,Preferred language,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,55758-7,Patient Health Questionnaire 2 item (PHQ-2) total score [Reported],40758879,40758879,Patient Health Questionnaire 2 item (PHQ-2) total score [Reported],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,56051-6,Hispanic or Latino,40759172,40759172,Hispanic or Latino,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,56799-0,Address,40759918,40759918,Address,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,59576-9,Body mass index (BMI) [Percentile] Per age and sex,40762638,40762638,Body mass index (BMI) [Percentile] Per age and sex,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,6298-4,Potassium [Moles/volume] in Blood,3005456,3005456,Potassium [Moles/volume] in Blood,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,6299-2,Urea nitrogen [Mass/volume] in Blood,3004295,3004295,Urea nitrogen [Mass/volume] in Blood,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,63512-8,How many people are living or staying at this address [#],40766239,40766239,How many people are living or staying at this address [#],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,63586-2,"What was your best estimate of the total income of all family members from all sources, before taxes, in last year [Phen",40766311,40766311,"What was your best estimate of the total income of all family members from all sources, before taxes, in last year [PhenX]",Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,65750-2,Drugs of abuse 5 panel - Urine by Screen method,40768439,40768439,Drugs of abuse 5 panel - Urine by Screen method,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,6690-2,Leukocytes [#/volume] in Blood by Automated count,3000905,3000905,Leukocytes [#/volume] in Blood by Automated count,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,67875-5,Employment status - current,40770471,40770471,Employment status - current,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,69453-9,Cause of Death [US Standard Certificate of Death],40771960,40771960,Cause of death [US Standard Certificate of Death],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,70274-6,Generalized anxiety disorder 7 item (GAD-7) total score [Reported.PHQ],42868746,42868746,Generalized anxiety disorder 7 item (GAD-7) total score [Reported.PHQ],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,718-7,Hemoglobin [Mass/volume] in Blood,3000963,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,71802-3,Housing status,42869557,42869557,Housing status,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,72166-2,Tobacco smoking status,43054909,43054909,Tobacco smoking status,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,72514-3,Pain severity - 0-10 verbal numeric rating [Score] - Reported,43055141,43055141,Pain severity - 0-10 verbal numeric rating [Score] - Reported,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,75626-2,Total score [AUDIT-C],46235357,46235357,Total score [AUDIT-C],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,75893-8,Pain severity in the past week - 0-10 numeric rating [Reported],46235652,46235652,Pain severity in the past week - 0-10 numeric rating [Reported],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,76437-3,Primary insurance,46235654,46235654,Primary insurance,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,76501-6,"Within the last year, have you been afraid of your partner or ex-partner",46235507,46235507,"Within the last year, have you been afraid of your partner or ex-partner",Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,76504-0,Total score [HARK],46234808,46234808,Total score [HARK],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,77606-2,Weight-for-length Per age and sex,46236327,46236327,Weight-for-length Per age and sex,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,777-3,Platelets [#/volume] in Blood by Automated count,3024929,3024929,Platelets [#/volume] in Blood by Automated count,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,785-6,MCH [Entitic mass] by Automated count,3012030,3012030,MCH [Entitic mass] by Automated count,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,786-4,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,3009744,3009744,MCHC [Mass/volume] by Automated count,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,787-2,MCV [Entitic mean volume] in Red Blood Cells by Automated count,3023599,3023599,MCV [Entitic volume] by Automated count,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,788-0,Erythrocyte [DistWidth] in Blood by Automated count,3019897,3019897,Erythrocyte distribution width [Ratio] by Automated count,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,789-8,Erythrocytes [#/volume] in Blood by Automated count,3020416,3020416,Erythrocytes [#/volume] in Blood by Automated count,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,82589-3,Highest level of education,42528763,42528763,Highest level of education,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,82667-7,Total score [DAST-10],42529243,42529243,Total score [DAST-10],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,8289-1,Head Occipital-frontal circumference Percentile,3035763,3035763,Head Occipital-frontal circumference Percentile,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,8302-2,Body Height,3036277,3036277,Body height,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,8310-5,Body temperature,3020891,3020891,Body temperature,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,8331-1,Oral temperature,3006322,3006322,Oral temperature,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,8462-4,Diastolic Blood Pressure,3012888,3012888,Diastolic blood pressure,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,8480-6,Systolic Blood Pressure,3004249,3004249,Systolic blood pressure,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,85354-9,Blood pressure panel with all children optional,36203185,36203185,Blood pressure panel with all children optional,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,8867-4,Heart rate,3027018,3027018,Heart rate,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,89204-2,Patient Health Questionnaire-9: Modified for Teens total score [Reported.PHQ.Teen],36305244,36305244,Patient Health Questionnaire-9: Modified for Teens total score [Reported.PHQ.Teen],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,91145-3,What number best describes how pain has interfered with your enjoyment of life during the past week,1175723,1175723,What number best describes how pain has interfered with your enjoyment of life during the past week,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,91146-1,What number best describes how pain has interfered with your general activity during the past week,1175797,1175797,What number best describes how pain has interfered with your general activity during the past week,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,91148-7,"Pain intensity, Enjoyment of life, General activity scale [PEG]",1176345,1176345,"Pain intensity, Enjoyment of life, General activity scale [PEG]",Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,9279-1,Respiratory rate,3024171,3024171,Respiratory rate,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
